feature,data_type,unique_count,organic_unique_count,supplement_unique_count,missing_rate,organic_missing_rate,supplement_missing_rate,dominant_value,dominant_pct,organic_dominant_value,organic_dominant_pct,supplement_dominant_value,supplement_dominant_pct,entropy_organic,entropy_supplement,categories_only_in_organic,categories_only_in_supplement,organic_mean,supplement_mean,organic_std,supplement_std,standardized_mean_diff_cohens_d,ks_statistic,ks_pvalue,cramers_v_vs_source,verdict
receiver_type,categorical,2,2,1,0.0,0.0,0.0,Merchant,0.8373,Merchant,0.75595,Merchant,1.0,0.8017106670641327,-0.0,User,,,,,,,,,0.3116052367647009,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
amount,numeric,28350,18711,9639,0.0,0.0,0.0,1.0,0.0077,152.43,0.0002,1.0,0.0231,14.155430573915902,13.024354243478076,,,876.8468535000001,178.14276283250967,1083.9005559445218,531.6479504765889,0.8184751497999228,0.7851,0.0,,NORMAL
hour_of_day,numeric,24,24,24,0.0,0.0,0.0,14,0.04836666666666667,14,0.04645,13,0.0584,4.583971572544396,4.262292312070125,,,11.56505,14.2471,6.867628900416482,5.3473826345329,-0.4357779431681128,0.2244,1.9460390288712045e-295,,NORMAL
day_of_week,numeric,7,7,1,0.0,0.0,0.0,0,0.4338666666666667,0,0.1508,0,1.0,2.80682673865888,-0.0,,,2.9704,0.0,2.009857163156331,0.0,2.0900888096326358,0.8492,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
is_weekend,numeric,2,2,1,0.0,0.0,0.0,0.0,0.8124,0.0,0.7186,0.0,1.0,0.857351402691134,-0.0,,,0.2814,0.0,0.4496933968912157,0.0,0.8849578383915173,0.2814,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
is_night_transaction,numeric,2,2,2,0.0,0.0,0.0,0,0.7426666666666667,0,0.6754,0,0.8772,0.9093138171945281,0.5373561797359152,,,0.3246,0.1228,0.46823690829548503,0.32822390694967557,0.49908869543320183,0.20179999999999998,1.756181371165296e-238,,NORMAL
time_since_last_txn_min,numeric,17662,17662,1,0.0,0.0,0.0,-1724.13,0.4112,-1724.13,0.1168,-1724.13,1.0,12.980440871072263,-0.0,,,-995.4520394999981,-1724.1300000000008,201808.72494139022,6.821551349391797e-13,0.0051063513465077,0.4416,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
transaction_type,categorical,7,6,2,0.0,0.0,0.0,P2M,0.48283333333333334,P2M,0.3507,P2M,0.7471,2.338284060127972,0.8158422437133777,"Bill Payment, EMI, P2P, Recharge, Subscription",ATM,,,,,,,,0.6762789262238911,NORMAL
payment_app,categorical,6,6,1,0.0,0.0,0.0,GPay,0.5479333333333334,GPay,0.3219,GPay,1.0,2.2610155651242163,-0.0,"Amazon Pay, BHIM, Paytm, PhonePe, WhatsApp Pay",,,,,,,,,0.6422770206551925,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
device_type,categorical,3,3,1,0.0,0.0,0.0,Android,0.7685666666666666,Android,0.65285,Android,1.0,1.1963480544010077,-0.0,"Web, iOS",,,,,,,,,0.3880227461878742,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
user_city_tier,numeric,3,3,1,0.0,0.0,0.0,2,0.6005,2,0.40075,2,1.0,1.5540959361295632,-0.0,,,1.88315,2.0,0.7652616276594157,0.0,-0.21594033829805706,0.35805,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
user_avg_monthly_txn,numeric,81,81,1,0.0,0.0,0.0,30.0,0.3541,32.0,0.03625,30.0,1.0,5.794876694916725,-0.0,,,31.939,30.0,14.645695743807838,0.0,0.1872331738559303,0.48865000000000003,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
user_avg_txn_value,numeric,1982,1982,1,0.0,0.0,0.0,544.55,0.3337,368.72,0.0013,544.55,1.0,10.875784988661403,-0.0,,,691.6244275,544.5500000000001,517.2255831300637,1.1369252248986327e-13,0.4021352710166605,0.4998,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
user_loyalty_score,numeric,823,823,1,0.0,0.0,0.0,0.569,0.3340666666666667,0.727,0.00475,0.569,1.0,9.420304671553062,-0.0,,,0.5603102500000001,0.569,0.2584599796351287,0.0,-0.04754764091903176,0.49985,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
new_device_flag,numeric,2,2,2,0.0,0.0,0.0,0,0.9401333333333334,0,0.9352,0,0.95,0.3462115219325207,0.28639695711595625,,,0.0648,0.05,0.24617877690716963,0.21795584524175415,0.06365702074014576,0.014799999999999924,0.10671474641984213,,NORMAL
ip_location_mismatch,numeric,2,2,2,0.0,0.0,0.0,0,0.9577,0,0.96155,0,0.95,0.23513979626610518,0.28639695711595625,,,0.03845,0.05,0.19228480483987448,0.21795584524175415,-0.056198492355527284,0.01155000000000006,0.3335218983496695,,NEAR_CONSTANT (overall)
failed_attempts_last_24h,numeric,6,6,1,0.0,0.0,0.0,0.0,0.8104666666666667,0.0,0.7157,0.0,1.0,1.3849206708379875,-0.0,,,0.53725,0.0,1.0407048528903577,0.0,0.7300688896326226,0.2843,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
transaction_velocity,numeric,5,5,1,0.0,0.0,0.0,0.0,0.8048666666666666,0.0,0.7073,0.0,1.0,1.3780617848957348,-0.0,,,0.53635,0.0,0.9923345775975433,0.0,0.7643726836720552,0.29269999999999996,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
amount_deviation_score,numeric,10384,10384,1,0.0,0.0,0.0,0.4445,0.3457,0.4445,0.01855,0.4445,1.0,12.983674237210002,-0.0,,,0.649797675,0.4444999999999999,0.7822499536980474,1.110278539940071e-16,0.37115343367694814,0.49075,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
recurring_payment_flag,numeric,2,2,1,0.0,0.0,0.0,0.0,0.7986,0.0,0.6979,0.0,1.0,0.8838427951222356,-0.0,,,0.3021,0.0,0.45917984745262425,0.0,0.9304282833035082,0.30210000000000004,0.0,,SOURCE_SPECIFIC_CONSTANT (constant in supplement only)
