feature,importance_coefficient,importance_permutation,importance_combined,organic_distribution,supplement_distribution,data_type,unique_count,missing_rate,organic_missing_rate,supplement_missing_rate,legitimate_at_inference,possible_source_artifact,possible_synthetic_artifact,possible_leakage,decision,classification,mechanism
day_of_week,7.467772605307245,0.04972676250000004,1.0,mean=2.97,mean=0,numeric,7,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cohens_d_fraud_vs_legit=0.0188, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
recurring_payment_flag,4.86387593852449,0.008300212500000037,0.4091159458652723,mean=0.3021,mean=0,numeric,2,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cohens_d_fraud_vs_legit=-0.0194, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
mrc_size,4.0646453110047975,0.004345750000000037,0.31584204987594083,Small (40.7%),Small (100.0%),categorical,4,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cramers_v_fraud_vs_legit=0.0068, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
usr_preferred_device,4.3069278517912455,0.002157112500000036,0.3100572886661026,Android (65.8%),Android (100.0%),categorical,3,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cramers_v_fraud_vs_legit=0.0055, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
device_type,3.6619609566915514,0.0014456500000000205,0.25972021912344356,Android (65.3%),Android (100.0%),categorical,3,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cramers_v_fraud_vs_legit=0.0062, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
transaction_velocity,3.3514993106812367,0.0026011125000000137,0.25055157071966594,mean=0.5363,mean=0,numeric,5,0.0,0.0,0.0,True,True,True,False,"KEEP (source-artifact explains separability, but shows real organic fraud signal -- not removed)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact, not a real-world pattern (the supplement is schema-bridged from an external synthetic dataset that repeats one templated profile). This alone explains why it separates organic from supplement almost perfectly. However, within anchor-only (organic) rows, this feature shows a non-negligible association with is_fraud (cohens_d_fraud_vs_legit=0.4346) -- real organic predictive value independent of the source-leakage question. Removing it would discard genuine signal to fix a dataset-generation problem, not a feature-validity problem."
failed_attempts_last_24h,3.3007933310023603,0.0025566375000000583,0.24670939006122486,mean=0.5373,mean=0,numeric,6,0.0,0.0,0.0,True,True,True,False,"KEEP (source-artifact explains separability, but shows real organic fraud signal -- not removed)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact, not a real-world pattern (the supplement is schema-bridged from an external synthetic dataset that repeats one templated profile). This alone explains why it separates organic from supplement almost perfectly. However, within anchor-only (organic) rows, this feature shows a non-negligible association with is_fraud (cohens_d_fraud_vs_legit=0.1996) -- real organic predictive value independent of the source-leakage question. Removing it would discard genuine signal to fix a dataset-generation problem, not a feature-validity problem."
transaction_type,2.6538139688530427,0.0037931125000000175,0.21582398689096743,P2M (35.1%),P2M (74.7%),categorical,7,0.0,0.0,0.0,True,False,False,False,"KEEP (legitimate distributional difference, not an artifact)",DOMAIN_SHIFT,"Varies naturally in both sources but with a real distributional difference (effect size 0.676) -- consistent with the two sources representing somewhat different transaction populations (organic real-style data vs. an external synthetic dataset's generation assumptions), not a data-quality problem. Domain shift is not, on its own, a reason to remove a feature -- it is available at real inference time and not evidence of leakage."
kyc_verified_flag,1.6516982130012712,0.000321550000000026,0.11382157950692418,mean=0.8647,mean=1,numeric,2,0.0,0.0,0.0,True,True,True,False,"KEEP (source-artifact explains separability, but shows real organic fraud signal -- not removed)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact, not a real-world pattern (the supplement is schema-bridged from an external synthetic dataset that repeats one templated profile). This alone explains why it separates organic from supplement almost perfectly. However, within anchor-only (organic) rows, this feature shows a non-negligible association with is_fraud (cohens_d_fraud_vs_legit=-0.1861) -- real organic predictive value independent of the source-leakage question. Removing it would discard genuine signal to fix a dataset-generation problem, not a feature-validity problem."
txn_success_flag,1.6046402363427108,0.0003529750000000331,0.11098681912372396,mean=0.8814,mean=1,numeric,2,0.0,0.0,0.0,True,True,True,False,"REMOVE (source-artifact, negligible organic fraud signal)",SYNTHETIC_ARTIFACT,"Constant (or effectively constant) in the supplement source -- a synthetic-generation artifact. Within anchor-only rows, this feature shows negligible association with is_fraud (cohens_d_fraud_vs_legit=-0.0147, below the 0.1 effect-size threshold) -- no established organic predictive value to weigh against removing a clear source-separability driver."
